CONTEXT,ZIERZONE
91-01-001,Z01
91-01-002,Z01
91-01-003,Z02
91-01-004,Z03
91-01-005,Z04
91-01-006,Z05
91-01-007,Z06
91-01-008,Z07
91-01-009,Z08
91-01-010,
91-02-011,Z01
91-02-012,Z02
91-02-013,Z03
91-02-014,Z04
91-03-015,Z01
91-03-016,
91-03-017,Z01
91-03-018,Z02
91-03-019,Z02
91-03-020,
91-03-021,
91-03-022,
91-03-023,
91-03-024,
91-03-025,
02-01-026,Z01
02-01-027,Z01
02-02-028,Z01
02-01-029,Z0304F
02-01-030,Z0304F
02-01-031,Z04
02-02-032,Z05F
02-02-033,Z01
02-01-034,Z0304F
02-02-035,Z04
02-02-036,Z04
02-01-037,Z04
02-02-038,Z0304F
02-01-039,Z05A
02-01-040,
02-01-041,Z01F
02-01-042,Z0304F
02-02-043,
02-02-044,Z05F
02-01-045,Z0304F
02-02-046,Z0304F
02-01-047,Z0304F
02-02-048,Z05
02-01-049,Z0304F
02-01-050,Z05
02-01-051,Z0304F
02-01-052,Z0304F
02-02-053,Z05
02-02-054,Z0304F
02-02-055,Z05F
02-01-056,Z0304F
02-01-057,Z05
02-02-058,Z05
02-02-059,Z05F
02-02-060,Z05F
02-01-061,Z0304F
02-01-062,Z0304F
02-01-063,Z0304F
02-01-064,Z05F
02-01-065,Z05F
02-02-066,Z06
02-01-067,Z06
02-02-068,Z05F
02-01-069,Z0304F
02-02-070,Z07
02-03-071,Z01
02-02-072,Z05F
02-01-073,Z06
02-03-074,Z03
02-02-075,
02-02-076,Z05F
02-01-077,Z06
02-03-078,Z01F
02-02-079,Z05F
02-02-080,Z05F
02-04-081,Z01
02-01-082,
02-02-083,Z05F
02-03-084,Z01F
02-04-085,Z03
02-03-086,Z01F
02-03-087,Z05A
02-02-088,Z05F
02-03-089,
02-02-090,Z05F
02-03-091,Z05
02-04-092,
02-02-093,
02-03-094,Z0304F
02-03-095,Z06F
02-04-096,Z0304F
02-04-097,Z0304F
02-04-098,Z0304F
02-04-099,Z05F
02-04-100,Z03
02-04-101,
02-03-102,
02-03-103,Z06F
02-04-104,Z05F
02-0403-105,Z03
02-03-106,
02-04-107,Z04
02-04-108,Z05F
02-04-109,Z05
02-05-110,Z01
02-04-111,Z0304F
02-05-112,Z0304F
02-04-113,Z05
02-05-114,Z05
02-04-115,Z05F
02-04-116,Z05F
02-05-117,
02-04-118,Z06
02-05-119,Z0304F
02-04-120,Z05F
02-04-121,Z05F
02-05-122,Z06F
02-05-123,Z06F
02-05-124,Z0304F
02-05-125,
02-04-126,Z06
02-04-127,Z06A
02-05-128,Z06F
02-06-129,Z01
02-05-130,Z06F
02-04-131,Z06F
02-06-132,Z03
02-05-133,
02-05-134,Z06F
02-06-135,Z0304F
02-06-136,Z03
02-04-137,
02-05-138,Z06F
02-06-139,
02-06-140,Z05F
02-07-141,Z01
02-07-142,Z01F
02-06-143,Z03
02-07-144,Z01F
02-06-145,
02-07-146,Z01F
02-06-147,Z0304F
02-07-148,Z05A
02-06-149,Z0304F
02-07-150,Z05A
02-06-151,Z05F
02-06-152,Z05
02-07-153,Z05
02-06-154,Z05
02-07-155,Z05A
02-07-156,Z05A
02-06-157,Z06
02-06-158,Z05F
02-03-159,Z01F
02-06-160,Z06
02-03-161,
02-06-162,
02-07-163,Z06F
02-07-164,
02-06-165,Z06F
02-06-166,Z06F
02-06-167,Z06F
02-07-168,Z06F
02-07-169,Z06F
02-06-170,
02-07-171,Z06F
02-07-172,
02-07-173,Z06F
02-03-174,Z06F
02-030507-175,Z06F
02-07-176,Z06F
02-07-177,Z06F
02-07-178,Z06F
02-07-179,Z06F
02-07-180,Z06F
02-0705-181,Z06F
02-07-182,Z06F
02-07-183,Z06F