Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
B13,5,,,,4,15,3,22,5.045454545,1738.810909,,,
B13,6,,,1,11,37,3,52,5.192307692,1733.192308,,,
B13,7,,,1,28,51,,80,5.375,1726.2025,,,
B13,8,,,1,1,2,,4,5.75,1711.855,,,
B14,1 and 2,,,,5,8,,13,5.384615385,1725.834615,,,
B14,3a,,,,7,30,,37,5.189189189,1733.311622,,,
B14,3b,,,2,10,20,,32,5.4375,1723.81125,,,
B14,4,,,4,15,22,,41,5.56097561,1719.087073,,,
B14,5,,,1,7,26,,34,5.264705882,1730.422353,,,
B14,6,,,,7,35,4,46,5.065217391,1738.054783,,,
B14,7,,,3,38,36,,77,5.571428571,1718.687143,,,
B15,3a,,,,,1,,1,5,1740.55,,,
B15,3b,,,,,1,,1,5,1740.55,,,
B15,5,,,,,1,,1,5,1740.55,,,
B15,6,,,1,,3,,4,5.5,1721.42,,,
B15,7,,,,5,8,,13,5.384615385,1725.834615,,,
B15,8,,,,5,4,,9,5.555555556,1719.294444,,,
B16,1 and 2,,,1,4,9,1,15,5.333333333,1727.796667,,,
B16,3b,,,,7,13,,20,5.35,1727.159,,,
B16,3a,,,2,7,6,,15,5.733333333,1712.492667,,,
B16,4,,,1,9,19,1,30,5.333333333,1727.796667,,,
B16,5,,,1,6,12,,19,5.421052632,1724.440526,,,
B16,6,,,,13,27,,40,5.325,1728.1155,,,
B16,7,,1,,15,18,,34,5.529411765,1720.294706,,,
B16,8,,,1,4,1,,6,6,1702.29,,,
B17,1 and 2,,,,1,3,,4,5.25,1730.985,,,
B17,3a,,,,1,4,,5,5.2,1732.898,,,
B17,3b,,,,1,1,,2,5.5,1721.42,,,
B17,5,,,,,3,1,4,4.75,1750.115,,,
B17,6,,,,2,8,,10,5.2,1732.898,,,
B17,7,,,2,7,13,,22,5.5,1721.42,,,
B18,1 and 2,,,,5,9,,14,5.357142857,1726.885714,,,
B18,3a,,,,4,8,,12,5.333333333,1727.796667,,,
B18,3b,,,,2,3,,5,5.4,1725.246,,,
B18,4,,,,2,4,1,7,5.142857143,1735.084286,,,
B18,5,,,,1,12,,13,5.076923077,1737.606923,,,
B18,6,,,,6,13,,19,5.315789474,1728.467895,,,
B18,7,,,1,13,12,,26,5.576923077,1718.476923,,,
B18,8,,,,2,,,2,6,1702.29,,,
B19,1 and 2,,,,1,1,1,3,5,1740.55,,,
B19,3a,,,,5,9,,14,5.357142857,1726.885714,,,
B19,3b,,,,,11,,11,5,1740.55,,,
B19,4,,,,4,1,,5,5.8,1709.942,,,
B19,5,,,,,3,,3,5,1740.55,,,
B19,6,,,,1,7,,8,5.125,1735.7675,,,
B19,7,,,,3,4,,7,5.428571429,1724.152857,,,
B20,1 and 2,,,,,1,,1,5,1740.55,,,
B20,3a,,,3,7,13,,23,5.565217391,1718.924783,,,
B20,3b,,,,6,8,,14,5.428571429,1724.152857,,,
B20,4,,,,3,6,,9,5.333333333,1727.796667,,,
B20,5,,,,8,24,3,35,5.142857143,1735.084286,,,
B20,6,,,,3,25,,28,5.107142857,1736.450714,,,
B20,7,,,,11,14,,25,5.44,1723.7156,,,
B21,1,,,,,1,,1,5,1740.55,,,
B21,2,,,,,4,1,5,4.8,1748.202,,,
B21,3a,,,,6,6,,12,5.5,1721.42,,,
B21,4a,,,1,15,33,1,50,5.32,1728.3068,,,
B21,4b,,,1,4,4,,9,5.666666667,1715.043333,,,
B21,5,,,1,3,20,,24,5.208333333,1732.579167,,,
B21,6,,,,12,28,,40,5.3,1729.072,,,
B21,7,,,,9,8,1,18,5.444444444,1723.545556,,,
B22,1,,,,2,,,2,6,1702.29,,,
B22,2,,1,,,2,,3,6,1702.29,,,
B22,3,,,2,1,4,,7,5.714285714,1713.221429,,,
B22,4,,2,5,6,30,,43,5.511627907,1720.975116,Confusing transcription,,
B22,5,,,,4,8,1,13,5.230769231,1731.720769,,,
B22,6,,,,6,12,,18,5.333333333,1727.796667,,,
B22,7,,,,2,5,,7,5.285714286,1729.618571,,,
B23,1 and 6,,,,1,,,1,6,1702.29,,,
B23,1 and 2,,,,1,,,1,6,1702.29,,,
B23,3a,,,,3,5,,8,5.375,1726.2025,,,
B23,3b,,,,1,2,,3,5.333333333,1727.796667,,,
B23,4,,,,2,6,,8,5.25,1730.985,,,
B23,5,,,1,,6,,7,5.285714286,1729.618571,,,
B23,6,,,,,6,,6,5,1740.55,,,
B24,3a,,,,2,1,,3,5.666666667,1715.043333,,,
B24,3b,,,,1,5,,6,5.166666667,1734.173333,,,
B24,4,,,,,1,,1,5,1740.55,,,
B24,5,,,,1,1,,2,5.5,1721.42,,,
B24,6,,,,,3,,3,5,1740.55,,,
C,2,,,,1,9,1,11,5,1740.55,,,
C1,1,,,,2,4,1,7,5.142857143,1735.084286,,,
C1,2,,,,,8,,8,5,1740.55,,,
C2,2,,,1,1,8,1,11,5.181818182,1733.593636,,,
C3,2,,,,,1,,1,5,1740.55,,,
C4,1,,,,1,,,1,6,1702.29,,,
C4,2,,,,,1,,1,5,1740.55,,,
D,1,,,7,33,56,2,98,5.459183673,1722.981633,,,
D2,1,,,2,6,6,,14,5.714285714,1713.221429,,,
D2,2,,,,,1,,1,5,1740.55,,,
D2,3a,,,1,2,2,,5,5.8,1709.942,,,
D2,4,,,1,1,4,,6,5.5,1721.42,,,
D2,5,,,1,6,15,,22,5.363636364,1726.637273,,,
D2,REPEATED???,,,,,,,0,#DIV/0!,#DIV/0!,,,
D3,3a,,,,2,,,2,6,1702.29,,,
D3,4,,,,3,4,,7,5.428571429,1724.152857,,,
D3,5,,1,,1,5,,7,5.571428571,1718.687143,,,
D4,1,,,,3,8,1,12,5.166666667,1734.173333,,,
D5,1,,,1,5,8,,14,5.5,1721.42,,,
D5,2,,,,,1,,1,5,1740.55,,,
D5,3a,,,,1,2,,3,5.333333333,1727.796667,,,
D5,4,,,,3,3,,6,5.5,1721.42,,,
D5,5,,,,8,3,,11,5.727272727,1712.724545,,,
D6,1,,,,2,9,1,12,5.083333333,1737.361667,,,
D6,2,,,,,5,,5,5,1740.55,,,
D6,3a,,,,1,8,,9,5.111111111,1736.298889,,,
D6,4,,,1,4,21,,26,5.230769231,1731.720769,,,
D6,5,,2,,13,6,,21,5.904761905,1705.93381,,,
D7,1,,,2,6,11,,19,5.526315789,1720.413158,,,
D7,2,,,,3,8,,11,5.272727273,1730.115455,,,
D7,3a,,,1,3,3,,7,5.714285714,1713.221429,,,
D7,4,,,1,3,2,,6,5.833333333,1708.666667,,,
D7,5,,,,11,11,,22,5.5,1721.42,,,
D8,1,,,,2,8,1,11,5.090909091,1737.071818,,,
D8,2,,,,,1,,1,5,1740.55,,,
D8,4,,1,7,23,,,31,6.290322581,1691.182258,,,
D8,5,,1,15,9,,,25,6.68,1676.2732,,,
D9,1,,,,5,10,,15,5.333333333,1727.796667,,,
D9,2,,,,5,4,,9,5.555555556,1719.294444,,,
D9,3a,,,,1,1,1,3,5,1740.55,,,
D9,4,,,,7,22,,29,5.24137931,1731.314828,,,
D9,5,,,,7,13,,20,5.35,1727.159,,,
D10,1,,,,1,2,,3,5.333333333,1727.796667,,,
D10,2,,,,,1,,1,5,1740.55,,,
D10,3a,,,,1,,,1,6,1702.29,,,
D10,4,,,,2,4,,6,5.333333333,1727.796667,,,
D10,5,,,,12,4,,16,5.75,1711.855,,,
D11,1,,,,4,6,,10,5.4,1725.246,,,
D11,2,,,,,4,,4,5,1740.55,,,
D11,1,,,,4,6,,10,5.4,1725.246,,,
D11,2,,,,,4,,4,5,1740.55,,,
D11,3,,,,1,7,,8,5.125,1735.7675,,,
D11,4,,,,2,3,,5,5.4,1725.246,,,
D11,5,,,,3,1,,4,5.75,1711.855,,,
D12,1,,,1,1,5,,7,5.428571429,1724.152857,,,
D12,2,,,,1,1,,2,5.5,1721.42,,,
D12,3a,,,,1,1,,2,5.5,1721.42,,,
D12,4,,,,5,4,,9,5.555555556,1719.294444,,,
D12,5,,,1,2,3,,6,5.666666667,1715.043333,,,
D13,1,,,,5,13,,18,5.277777778,1729.922222,,,
D14,1,,,,,2,,2,5,1740.55,,,
D14,2,,,,,2,,2,5,1740.55,,,
D14,3,,,,,1,,1,5,1740.55,,,
D14,4,,,,2,1,,3,5.666666667,1715.043333,,,
D14,5,,,1,6,3,,10,5.8,1709.942,,,
D15,,,,,4,,,4,6,1702.29,,,
D16,1,,,,1,1,,2,5.5,1721.42,,,
D16,3,,,,5,5,1,11,5.363636364,1726.637273,,,
D16,5,,,2,8,9,,19,5.631578947,1716.385789,,,
E,1 and 2,,,,3,6,,9,5.333333333,1727.796667,,,
E,3a,,,1,2,3,,6,5.666666667,1715.043333,,,
E,4,,,1,4,32,1,38,5.131578947,1735.515789,,,
E,5,,,,3,28,1,32,5.0625,1738.15875,,,
E,6,,1,2,14,11,,28,5.75,1711.855,,,
E,7,,,,5,,,5,6,1702.29,,,
E1,1,,1,6,13,2,,22,6.272727273,1691.855455,,,
E2,2,,,1,,4,1,6,5.166666667,1734.173333,,,
E2,3,,,,3,6,,9,5.333333333,1727.796667,,,
E2,4,,,1,2,9,,12,5.333333333,1727.796667,,,
E2,5,,,,1,5,,6,5.166666667,1734.173333,,,
E2,6,,,,,11,,11,5,1740.55,,,
E2,6N,,,1,4,5,,10,5.6,1717.594,,,
E2,7,,1,5,11,7,,24,6,1702.29,,,
E2,1 and 2,,,2,12,5,,19,5.842105263,1708.331053,,,
E2,3a,,,,9,8,,17,5.529411765,1720.294706,,,
E2,4,,,,7,6,,13,5.538461538,1719.948462,,,
E2,5,,,,3,2,,5,5.6,1717.594,,,
E2,6,,,,3,4,,7,5.428571429,1724.152857,,,
E2,7,,,2,10,20,2,34,5.352941176,1727.046471,,,
E2,8,,,,1,7,,8,5.125,1735.7675,,,
E2,9,,,,,3,,3,5,1740.55,,,
E3,2,,,,6,9,,15,5.4,1725.246,,,
E3,3a,,,,,9,2,11,4.818181818,1747.506364,,,
E3,4,,,,1,27,2,30,4.966666667,1741.825333,,,
E3,5,,,,8,38,6,52,5.038461538,1739.078462,,,
E3,7,,,17,15,7,,39,6.256410256,1692.479744,,,
E3,9,,,,,5,1,6,4.833333333,1746.926667,,,
E4,1 and 2,,,1,2,6,,9,5.444444444,1723.545556,,,
E4,3,,,1,,4,,5,5.4,1725.246,,,
E4,4 and 5,,,,1,3,,4,5.25,1730.985,,,
E4,6,,,2,5,8,,15,5.6,1717.594,,,
E4,7,,,1,5,2,,8,5.875,1707.0725,,,
E4,8,,,,1,2,,3,5.333333333,1727.796667,,,
E4,Floor,,,,1,6,,7,5.142857143,1735.084286,,,
E5,1 and 2,,1,1,4,10,,16,5.5625,1719.02875,,,
E5,3 and 4,,,1,6,16,1,24,5.291666667,1729.390833,,,
E5,5 and 6,,,1,1,10,,12,5.25,1730.985,,,
E5,7a,,1,,2,10,,13,5.384615385,1725.834615,,,
E5,7b,,,,2,5,,7,5.285714286,1729.618571,,,
E5,9,,,,,6,,6,5,1740.55,,,
E6,7,,,,3,,1,4,5.5,1721.42,,,
,,24,,3,4,7,,14,5.714285714,1713.221429,,,
,,25,,,7,12,1,20,5.3,1729.072,,,
,12,26,1,6,22,11,,40,5.925,1705.1595,,,
,1,26,,4,11,13,,28,5.678571429,1714.587857,,,
,3,26,,1,9,16,3,29,5.275862069,1729.995517,,,
,2,26,,2,7,15,,24,5.458333333,1723.014167,,,
,4,26,,,5,15,10,30,4.833333333,1746.926667,,,
,5,26,,,6,11,5,22,5.045454545,1738.810909,,,
,6,26,,,3,10,10,23,4.695652174,1752.194348,,,
,7,26,,,3,15,5,23,4.913043478,1743.876957,,,
,9,26,,3,26,20,3,52,5.557692308,1719.212692,,,
,8,26,,1,16,13,7,37,5.297297297,1729.175405,,,
,10,26,,2,28,13,4,47,5.595744681,1717.756809,,,
,11,26,,2,29,12,3,46,5.652173913,1715.597826,,,
,13,26,,2,6,6,3,17,5.411764706,1724.795882,,,
,14,26,,2,2,1,,5,6.2,1694.638,,,
,15,26,,,2,,1,3,5.333333333,1727.796667,,,
,16,26,,,8,6,4,18,5.222222222,1732.047778,,,
,,27,,5,6,10,,21,5.761904762,1711.399524,,,
,,30,,,,3,,3,5,1740.55,,,
,,31,,,6,11,,17,5.352941176,1727.046471,,,
,,32,,,1,1,,2,5.5,1721.42,,,
,,33,,,2,,,2,6,1702.29,,,
,,34,,,,3,1,4,4.75,1750.115,,,
,,35,,,1,1,,2,5.5,1721.42,,,
,Below forge,37,,,1,,,1,6,1702.29,,,
,,37,,,7,9,,16,5.4375,1723.81125,,,
,,38,1,2,3,10,,16,5.625,1716.6375,,,
,,40,,,,5,,5,5,1740.55,,,
,,41,,,3,1,,4,5.75,1711.855,,,
,,45,,1,4,2,1,8,5.625,1716.6375,,,
,,45F,,,6,,,6,6,1702.29,,,
,,45W,,,4,6,,10,5.4,1725.246,,,
,,45Z,,,,3,,3,5,1740.55,,,
,,45U,,,,3,,3,5,1740.55,,,
A8,,45,,,1,1,,2,5.5,1721.42,,,
,,45,,1,6,13,1,21,5.333333333,1727.796667,,,
,2,45,,,1,3,1,5,5,1740.55,,,
,3,45,,,1,1,,2,5.5,1721.42,,,
,4,45,,,2,3,,5,5.4,1725.246,,,
,5,45,,,,3,1,4,4.75,1750.115,,,
,I,45,,4,7,16,5,32,5.3125,1728.59375,,,
,,45,,5,21,45,,71,5.436619718,1723.84493,,,
,,46,,6,19,8,1,34,5.882352941,1706.791176,,,
,,47,,6,16,35,,57,5.49122807,1721.755614,,,
,,48,,,8,10,,18,5.444444444,1723.545556,,,
,,49,,,4,9,,13,5.307692308,1728.777692,,,
,,52,,,1,,,1,6,1702.29,,,
,,54,,,3,4,1,8,5.25,1730.985,,,
,,55,,,3,1,,4,5.75,1711.855,,,
,,56,,,1,6,,7,5.142857143,1735.084286,,,
,,57,,,1,2,,3,5.333333333,1727.796667,,,
,,60,,,5,25,,30,5.166666667,1734.173333,,,
,,61,,,,2,,2,5,1740.55,,,
,,62,,,1,2,,3,5.333333333,1727.796667,,,
,,63,,,1,,,1,6,1702.29,,,
,,65,2,6,42,23,,73,5.821917808,1709.103425,,,
,,65d,,1,45,23,,69,5.68115942,1714.488841,,,
,,65x,1,1,4,15,2,23,5.304347826,1728.905652,,,
,,65a,,1,26,22,,49,5.571428571,1718.687143,,,
,,65b,,4,36,38,,78,5.564102564,1718.967436,,,
,,65e,2,5,8,26,,41,5.585365854,1718.153902,,,
,,65c,,4,2,,,6,6.666666667,1676.783333,,,
,,71,,,,1,,1,5,1740.55,,,
,,72,,,2,6,,8,5.25,1730.985,,,
,,75,,,2,2,1,5,5.2,1732.898,,,
,,76,,,,1,,1,5,1740.55,,,
,,77,,2,12,26,1,41,5.365853659,1726.552439,,,
,,78,,,1,,,1,6,1702.29,,,
,,79,,,1,1,,2,5.5,1721.42,,,
,,80,,3,2,4,,9,5.888888889,1706.541111,,,
,,81,,,,3,,3,5,1740.55,,,
,,82,,,,3,,3,5,1740.55,,,
,,83,,1,7,10,,18,5.5,1721.42,,,
,,84,,,,3,,3,5,1740.55,,,
,,85,,,,3,1,4,4.75,1750.115,,,
,,86,,2,6,7,,15,5.666666667,1715.043333,,,
,,88,,,1,,,1,6,1702.29,,,
,,89,,3,6,3,,12,6,1702.29,,,
,,90,,2,1,1,,4,6.25,1692.725,,,
,,91,,2,23,23,,48,5.5625,1719.02875,,,
,,93,,1,8,47,3,59,5.118644068,1736.010678,,,
,,94,,,4,9,,13,5.307692308,1728.777692,,,
,,95,,7,17,14,1,39,5.769230769,1711.119231,,,
,,96,,1,3,1,1,6,5.666666667,1715.043333,,,
,,97,,,1,3,,4,5.25,1730.985,,,
,,99,,,3,4,,7,5.428571429,1724.152857,,,
,,102,,,,1,,1,5,1740.55,,,
,,104,,,,1,,1,5,1740.55,,,
,,105,,,,1,,1,5,1740.55,,,
,,106,,1,1,2,,4,5.75,1711.855,,,
,,107,,,,1,,1,5,1740.55,,,
,,109,,1,4,,,5,6.2,1694.638,,,
,,110,,,,1,,1,5,1740.55,,,
,,111,,,5,4,,9,5.555555556,1719.294444,,,
,,113,,1,1,5,,7,5.428571429,1724.152857,,,
,,114,,,,1,,1,5,1740.55,,,
,,115,,,,1,,1,5,1740.55,,,
,,116,,,1,,,1,6,1702.29,,,
,,117,,,,1,,1,5,1740.55,,,
,,118,,,1,,,1,6,1702.29,,,
,,119,,,,1,,1,5,1740.55,,,
,,121,,,6,10,,16,5.375,1726.2025,,,
,,122,,,2,7,,9,5.222222222,1732.047778,,,
,,123,,3,,,,3,7,1664.03,,,
,,126,,1,9,8,,18,5.611111111,1717.168889,,,
,,127b,,2,3,11,,16,5.4375,1723.81125,,,
,,127x,,,1,5,,6,5.166666667,1734.173333,,,
,,127,,2,10,42,,54,5.259259259,1730.630741,,,
,,128,,4,4,17,1,26,5.423076923,1724.363077,,,
,,129,,,1,,,1,6,1702.29,,,
,,130,,,,1,,1,5,1740.55,,,
,,131b,,,2,3,,5,5.4,1725.246,,,
,,131d,,,1,,,1,6,1702.29,,,
,,131a,,,6,19,,25,5.24,1731.3676,,,
,,134,,1,7,16,2,26,5.269230769,1730.249231,,,
,,135,,,3,1,,4,5.75,1711.855,,,
,,136,,,3,29,1,33,5.060606061,1738.231212,,,
,,139,,,1,3,,4,5.25,1730.985,,,
,,140,,,1,,,1,6,1702.29,,,
,,141,,,1,,,1,6,1702.29,,,
,,143,,,,1,,1,5,1740.55,,,
,,144,,,,1,,1,5,1740.55,,,
,,145,,,,,,0,#DIV/0!,#DIV/0!,,,
,,146,,,2,1,,3,5.666666667,1715.043333,,,
,,147,,,1,,,1,6,1702.29,,,
,,150,,,1,3,,4,5.25,1730.985,,,
,,156,,,,6,,6,5,1740.55,,,
B14,,166b,,1,14,36,,51,5.31372549,1728.546863,,,
B14,,166a,,1,5,20,,26,5.269230769,1730.249231,,,
B21,,166b,,3,31,75,,109,5.339449541,1727.562661,,,
B22,,166,,,3,13,,16,5.1875,1733.37625,,,
B19,,166b,,,15,24,,39,5.384615385,1725.834615,,,
B13,,166b,,2,24,58,,84,5.333333333,1727.796667,,,
B19,,166,,,6,11,,17,5.352941176,1727.046471,,,
B16,,166b,,1,7,10,,18,5.5,1721.42,,,
B13,,166,,3,22,53,,78,5.358974359,1726.815641,,,
B21,,166a,,1,7,21,,29,5.310344828,1728.676207,,,
B14,,166b,,3,11,38,1,53,5.301886792,1728.999811,,,
B17,,166,,,2,2,,4,5.5,1721.42,,,
B23,,166,,,1,4,,5,5.2,1732.898,,,
B26,,166b,,,,3,,3,5,1740.55,,,
B24,,166a,,,,7,,7,5,1740.55,,,
B17,,166a,,,2,6,,8,5.25,1730.985,,,
B17,,166b,,,4,5,,9,5.444444444,1723.545556,,,
B20,,166b,,1,10,56,,67,5.179104478,1733.697463,,,
B24,,166b,,,2,7,,9,5.222222222,1732.047778,,,
B16,,166a,,,5,1,,6,5.833333333,1708.666667,,,
B16,,166,,1,15,31,,47,5.361702128,1726.711277,,,
B13,,163,,,,1,,1,5,1740.55,,,
B13,,164,,,1,1,,2,5.5,1721.42,,,
B13,,165,,1,2,15,,18,5.222222222,1732.047778,,,
B15,,170,,1,1,,,2,6.5,1683.16,,,
,,171,,,2,2,,4,5.5,1721.42,,,
,,174,,,,1,,1,5,1740.55,,,
B16,,175,,,2,,,2,6,1702.29,,,
B18,,176,,,1,1,,2,5.5,1721.42,,,
B22,,178a,,,2,8,,10,5.2,1732.898,,,
,,178,,,,7,,7,5,1740.55,,,
B22,,178b,,,6,13,,19,5.315789474,1728.467895,,,
B22,,178,,,7,10,1,18,5.333333333,1727.796667,,,
,,180,,1,1,1,,3,6,1702.29,,,
B16,,181,,,,1,,1,5,1740.55,,,
B23,,183,,3,10,4,,17,5.941176471,1704.540588,,,
B23,,183,1,5,22,25,53,106,4.830188679,1747.046981,,,
B18,,185,,,,1,,1,5,1740.55,,,
B20,,186,,2,,4,,6,5.666666667,1715.043333,,,
B20,,188,,,,1,,1,5,1740.55,,,
B21,,189,,,,4,,4,5,1740.55,,,
B21,,193,,,,1,,1,5,1740.55,,,
,,191,,,3,1,,4,5.75,1711.855,,,
,,192,,,5,7,,12,5.416666667,1724.608333,,,
,,196,,,1,1,,2,5.5,1721.42,,,
,,197,,,,2,,2,5,1740.55,,,
,,198,,,,3,,3,5,1740.55,,,
,,199,,1,7,26,,34,5.264705882,1730.422353,,,
,,200,,,1,2,,3,5.333333333,1727.796667,,,
B22,,201,,,,1,,1,5,1740.55,,,
,,136T,,1,5,57,5,68,5.029411765,1739.424706,,,
