COMPONENT,UNPROV,Count,,Total Unprovenienced ,,
CELLAR,yUNPROV,21,,21,,
CELLAR,NA,978,,534,,
DRIVEWAY,yUNPROV,534,,2624,,
DRIVEWAY,NA,1369,,2515,,
KITCHEN,yUNPROV,2624,,104,,
KITCHEN,NA,12642,,122,,
PRIVY,yUNPROV,2515,,386,,
PRIVY,NA,5786,,1149,,
SIDEWALK,yUNPROV,104,,7455,,
SIDEWALK,NA,1330,,0.115631592,Total percentage unprovenienced ,
STABLE,yUNPROV,122,,57017,Total provenienced dataset,
STABLE,NA,3711,,,,
WORKYARD,yUNPROV,386,,,,
WORKYARD,NA,29627,,,,
NA,yUNPROV,1149,,,,22079
NA,NA,1574,,,,12181
,Total Ceramic Dataset,64472,,,,17247
,Total Herold Ceramic Dataset,60639,,,,60639
,Total Zierden Ceramic Dataset,3833,,,Total Dataset,112146
,,,,,,
Herold GenArts,22079,,,,,
Herold Tobacco Pipes,12181,,,,,
Zierden DAACS,17247,,,,,